rid,date,origin,destination,gbtt_ptd,gbtt_pta,toc_code
202401026728789,2024-01-02,KGX,ABD,1600,2020,GR
202401036728789,2024-01-03,KGX,ABD,1600,2020,GR
202401046728789,2024-01-04,KGX,ABD,1600,2020,GR
202401056728789,2024-01-05,KGX,ABD,1600,2020,GR
202401016728789,2024-01-01,KGX,EDB,1600,2022,GR
202401016728837,2024-01-01,KGX,EDB,1630,2114,GR
202401026728837,2024-01-02,KGX,EDB,1630,2114,GR
202401036728837,2024-01-03,KGX,EDB,1630,2114,GR
202401046728837,2024-01-04,KGX,EDB,1630,2114,GR
202401056728837,2024-01-05,KGX,EDB,1630,2124,GR
202401016728855,2024-01-01,KGX,EDB,1700,2124,GR
202401026728855,2024-01-02,KGX,EDB,1700,2124,GR
202401036728855,2024-01-03,KGX,EDB,1700,2124,GR
202401046728855,2024-01-04,KGX,EDB,1700,2124,GR
202401016728859,2024-01-01,KGX,EDB,1730,2208,GR
202401026728859,2024-01-02,KGX,EDB,1730,2208,GR
202401036728859,2024-01-03,KGX,EDB,1730,2208,GR
202401046728859,2024-01-04,KGX,EDB,1730,2208,GR
202401056728859,2024-01-05,KGX,EDB,1730,2208,GR
202401016728885,2024-01-01,KGX,EDB,1800,2220,GR
202401026728885,2024-01-02,KGX,EDB,1800,2220,GR
202401036728885,2024-01-03,KGX,EDB,1800,2220,GR
202401046728885,2024-01-04,KGX,EDB,1800,2220,GR
202401056728885,2024-01-05,KGX,EDB,1800,2220,GR
202401026728860,2024-01-02,KGX,EDB,1830,2316,GR
202401036728860,2024-01-03,KGX,EDB,1830,2316,GR
202401046728860,2024-01-04,KGX,EDB,1830,2316,GR
202401056728860,2024-01-05,KGX,EDB,1830,2316,GR
202401026728868,2024-01-02,KGX,EDB,1900,2324,GR
202401036728868,2024-01-03,KGX,EDB,1900,2324,GR
202401046728868,2024-01-04,KGX,EDB,1900,2324,GR
202401056728868,2024-01-05,KGX,EDB,1900,2324,GR
202401016728868,2024-01-01,KGX,EDB,1900,2329,GR
202401086728789,2024-01-08,KGX,ABD,1600,2020,GR
202401106728789,2024-01-10,KGX,ABD,1600,2020,GR
202401116728789,2024-01-11,KGX,ABD,1600,2020,GR
202401126728789,2024-01-12,KGX,ABD,1600,2020,GR
202401086728837,2024-01-08,KGX,EDB,1630,2114,GR
202401096728837,2024-01-09,KGX,EDB,1630,2114,GR
202401106728837,2024-01-10,KGX,EDB,1630,2114,GR
202401116728837,2024-01-11,KGX,EDB,1630,2114,GR
202401126728837,2024-01-12,KGX,EDB,1630,2124,GR
202401086728855,2024-01-08,KGX,EDB,1700,2124,GR
202401096728855,2024-01-09,KGX,EDB,1700,2124,GR
202401106728855,2024-01-10,KGX,EDB,1700,2124,GR
202401116728855,2024-01-11,KGX,EDB,1700,2124,GR
202401086728859,2024-01-08,KGX,EDB,1730,2208,GR
202401096728859,2024-01-09,KGX,EDB,1730,2208,GR
202401106728859,2024-01-10,KGX,EDB,1730,2208,GR
202401116728859,2024-01-11,KGX,EDB,1730,2208,GR
202401126728859,2024-01-12,KGX,EDB,1730,2208,GR
202401086728885,2024-01-08,KGX,EDB,1800,2220,GR
202401096728885,2024-01-09,KGX,EDB,1800,2220,GR
202401106728885,2024-01-10,KGX,EDB,1800,2220,GR
202401116728885,2024-01-11,KGX,EDB,1800,2220,GR
202401126728885,2024-01-12,KGX,EDB,1800,2220,GR
202401086728860,2024-01-08,KGX,EDB,1830,2316,GR
202401096728860,2024-01-09,KGX,EDB,1830,2316,GR
202401106728860,2024-01-10,KGX,EDB,1830,2316,GR
202401116728860,2024-01-11,KGX,EDB,1830,2316,GR
202401126728860,2024-01-12,KGX,EDB,1830,2316,GR
202401086728868,2024-01-08,KGX,EDB,1900,2324,GR
202401096728868,2024-01-09,KGX,EDB,1900,2324,GR
202401106728868,2024-01-10,KGX,EDB,1900,2324,GR
202401116728868,2024-01-11,KGX,EDB,1900,2324,GR
202401126728868,2024-01-12,KGX,EDB,1900,2324,GR
202401156728789,2024-01-15,KGX,ABD,1600,2020,GR
202401166728789,2024-01-16,KGX,ABD,1600,2020,GR
202401176728789,2024-01-17,KGX,ABD,1600,2020,GR
202401186728789,2024-01-18,KGX,ABD,1600,2020,GR
202401196728789,2024-01-19,KGX,ABD,1600,2020,GR
202401156728837,2024-01-15,KGX,EDB,1630,2114,GR
202401166728837,2024-01-16,KGX,EDB,1630,2114,GR
202401176728837,2024-01-17,KGX,EDB,1630,2114,GR
202401186728837,2024-01-18,KGX,EDB,1630,2114,GR
202401196728837,2024-01-19,KGX,EDB,1630,2114,GR
202401156728855,2024-01-15,KGX,EDB,1700,2124,GR
202401166728855,2024-01-16,KGX,EDB,1700,2124,GR
202401176728855,2024-01-17,KGX,EDB,1700,2124,GR
202401186728855,2024-01-18,KGX,EDB,1700,2124,GR
202401196728855,2024-01-19,KGX,EDB,1700,2124,GR
202401156728859,2024-01-15,KGX,EDB,1730,2208,GR
202401166728859,2024-01-16,KGX,EDB,1730,2208,GR
202401176728859,2024-01-17,KGX,EDB,1730,2208,GR
202401186728859,2024-01-18,KGX,EDB,1730,2208,GR
202401196728859,2024-01-19,KGX,EDB,1730,2208,GR
202401156728885,2024-01-15,KGX,EDB,1800,2220,GR
202401166728885,2024-01-16,KGX,EDB,1800,2220,GR
202401176728885,2024-01-17,KGX,EDB,1800,2220,GR
202401186728885,2024-01-18,KGX,EDB,1800,2220,GR
202401196728885,2024-01-19,KGX,EDB,1800,2220,GR
202401156728860,2024-01-15,KGX,EDB,1830,2316,GR
202401166728860,2024-01-16,KGX,EDB,1830,2316,GR
202401176728860,2024-01-17,KGX,EDB,1830,2316,GR
202401186728860,2024-01-18,KGX,EDB,1830,2316,GR
202401196728860,2024-01-19,KGX,EDB,1830,2316,GR
202401156728868,2024-01-15,KGX,EDB,1900,2324,GR
202401166728868,2024-01-16,KGX,EDB,1900,2324,GR
