rid,from_station,to_station,late_canc_reason,total_stops_in_run,remaining_stops_after_this,date_of_service,month,day_of_week,day_of_month,from_sched_arrival_min,from_actual_arrival_min,from_sched_departure_min,from_actual_departure_min,to_sched_arrival_min,to_actual_arrival_min,to_sched_departure_min,to_actual_departure_min,propagated_delay_min,end_segment_delay_min,cum_delay_min,leg_duration_min,arrival_delay_min,prev_train_leg_delay_min,prev_train_cum_delay_min,prev_train_segment_duration_min,prev_train_end_segment_delay_min,historical_avg_propagated_delay_min,historical_avg_leg_duration_min,historical_avg_cum_delay_min,historical_avg_arrival_delay_min,delay_historical_difference,from_temp,from_rain,from_wind,to_temp,to_rain,to_wind
202501017835779,KGX,YRK,696,6,5,2025-01-01,1,2,1,0,0,960,959,1072,1094,1076,1097,-1,22,-1,135,22,,,,,-62.201977401129945,106.65536723163842,-62.201977401129945,-65.83474576271186,61.201977401129945,6.1,0.8,17.0,4.1,0.0,17.9
202501016771577,KGX,YRK,,6,5,2025-01-01,1,2,1,0,0,1020,1019,1129,1127,1137,1136,-1,-2,-1,108,-2,-1.0,-1.0,135.0,22.0,-62.201977401129945,106.65536723163842,-62.201977401129945,-65.83474576271186,61.201977401129945,5.9,1.2,16.9,3.9,0.0,17.2
202501016771583,KGX,YRK,,6,5,2025-01-01,1,2,1,0,0,1080,1079,1187,1185,1192,1193,-1,-2,-1,106,-2,-1.0,-1.0,108.0,-2.0,-62.201977401129945,106.65536723163842,-62.201977401129945,-65.83474576271186,61.201977401129945,6.2,0.2,14.9,3.4,0.0,15.4
202501026771577,KGX,YRK,,6,5,2025-01-02,1,3,2,0,0,1020,1019,1129,1128,1137,1137,-1,-1,-1,109,-1,-1.0,-1.0,106.0,-2.0,-62.201977401129945,106.65536723163842,-62.201977401129945,-65.83474576271186,61.201977401129945,3.1,0.0,8.1,0.2,0.0,11.0
202501026771583,KGX,YRK,,6,5,2025-01-02,1,3,2,0,0,1080,1079,1187,1190,1192,1195,-1,3,-1,111,3,-1.0,-1.0,109.0,-1.0,-62.201977401129945,106.65536723163842,-62.201977401129945,-65.83474576271186,61.201977401129945,2.4,0.0,6.7,-0.0,0.0,12.3
202501026771588,KGX,YRK,,6,5,2025-01-02,1,3,2,0,0,1140,1140,1257,1257,1259,1259,0,0,0,117,0,-1.0,-1.0,111.0,3.0,-62.201977401129945,106.65536723163842,-62.201977401129945,-65.83474576271186,62.201977401129945,1.4,0.0,7.2,-0.3,0.0,11.9
202501036771577,KGX,YRK,,6,5,2025-01-03,1,4,3,0,0,1020,1020,1129,1134,1137,1137,0,5,0,114,5,0.0,0.0,117.0,0.0,-62.201977401129945,106.65536723163842,-62.201977401129945,-65.83474576271186,62.201977401129945,2.3,0.0,7.4,1.5,0.0,2.2
202501036771583,KGX,YRK,,6,5,2025-01-03,1,4,3,0,0,1080,1079,1187,1186,1192,1195,-1,-1,-1,107,-1,0.0,0.0,114.0,5.0,-62.201977401129945,106.65536723163842,-62.201977401129945,-65.83474576271186,61.201977401129945,2.3,0.0,7.4,1.3,0.0,1.8
202501036771588,KGX,YRK,,6,5,2025-01-03,1,4,3,0,0,1140,1141,1257,1253,1259,1258,1,-4,1,112,-4,-1.0,-1.0,107.0,-1.0,-62.201977401129945,106.65536723163842,-62.201977401129945,-65.83474576271186,63.201977401129945,1.6,0.0,7.0,0.7,0.0,3.1
202501066771577,KGX,YRK,,6,5,2025-01-06,1,0,6,0,0,1020,1019,1129,1132,1137,1137,-1,3,-1,113,3,1.0,1.0,112.0,-4.0,-62.201977401129945,106.65536723163842,-62.201977401129945,-65.83474576271186,61.201977401129945,5.4,0.0,15.0,2.1,0.0,16.7
202501066771583,KGX,YRK,,6,5,2025-01-06,1,0,6,0,0,1080,1079,1187,1193,1192,1195,-1,6,-1,114,6,-1.0,-1.0,113.0,3.0,-62.201977401129945,106.65536723163842,-62.201977401129945,-65.83474576271186,61.201977401129945,5.0,0.0,13.5,1.7,0.0,16.3
