from_station,to_station,avg_propagated_delay_min,avg_leg_duration_min,avg_cum_delay_min,avg_arrival_delay_min,num_trains
ALM,BWK,-85.79032258064517,17.112903225806452,-427.85483870967744,-87.96774193548387,62
ALM,DUN,-38.97021276595745,37.04255319148936,-230.4,-41.91063829787234,235
ALM,EDB,-124.00881057268722,-2.4405286343612334,-610.453744493392,-189.43612334801762,227
ALM,RSN,3.0,27.0,22.0,4.0,1
BWK,DUN,-70.96551724137932,-29.310344827586206,-208.31034482758622,-120.10344827586206,29
BWK,EDB,-95.00131926121372,12.052770448548813,-376.8588390501319,-126.49472295514512,758
DAR,DHM,-42.21688311688312,14.467532467532468,-183.37792207792208,-44.34285714285714,770
DAR,NCL,-67.5850622406639,23.647302904564317,-199.76486860304288,-66.79668049792531,723
DHM,NCL,-45.5,13.198701298701298,-228.87792207792208,-40.67272727272727,770
DON,YRK,-32.7214953271028,27.65607476635514,-116.80934579439253,-36.28971962616822,535
DUN,EDB,-54.26893939393939,3.6515151515151514,-282.24242424242425,-76.51893939393939,264
GRA,DON,1.0,33.0,1.0,4.5,2
GRA,NNG,20.904761904761905,9.666666666666666,48.42857142857143,21.523809523809526,21
GRA,YRK,2.6666666666666665,46.666666666666664,-373.3333333333333,0.3333333333333333,3
KGX,DON,8.470588235294118,26.235294117647058,8.470588235294118,-57.1764705882353,17
KGX,GRA,-0.3333333333333333,61.333333333333336,-0.3333333333333333,0.3333333333333333,3
KGX,PBO,-27.95250659630607,44.16490765171504,-27.95250659630607,-29.054089709762533,758
KGX,SVG,8.0,-115.85714285714286,8.0,-129.14285714285714,7
KGX,YRK,-62.201977401129945,106.65536723163842,-62.201977401129945,-65.83474576271186,708
MPT,ALM,-127.43382352941177,21.36764705882353,-482.7279411764706,-118.97426470588235,272
MPT,BWK,12.0625,30.125,-145.9375,10.75,16
MPT,EDB,-54.34156378600823,67.09053497942386,-314.71604938271605,-60.25514403292181,243
NCL,ALM,-22.450592885375492,20.051383399209485,-179.30434782608697,-41.0395256916996,253
NCL,BWK,-65.94922425952045,37.90409026798307,-253.163610719323,-95.13963328631876,709
NCL,MPT,-44.067796610169495,7.634651600753296,-295.32015065913373,-92.3653483992467,531
NNG,DON,-29.37007874015748,19.133858267716537,-89.43307086614173,-30.944881889763778,508
NNG,RET,21.5,12.166666666666666,60.666666666666664,23.0,6
NNG,YRK,-20.165289256198346,40.59504132231405,-62.72727272727273,-20.136363636363637,242
NTR,DAR,-27.57388316151203,9.969072164948454,-135.60824742268042,-30.2680412371134,291
PBO,DON,11.0,47.5,11.0,12.0,2
PBO,GRA,-33.26086956521739,66.30434782608695,-23.869565217391305,16.043478260869566,23
PBO,NNG,-27.685714285714287,25.91292517006803,-56.59047619047619,-28.089795918367347,735
PBO,YRK,4.0,66.66666666666667,3.0,5.666666666666667,3
RET,DON,21.8,13.8,76.4,22.8,5
RET,YRK,41.0,42.0,132.0,54.0,1
RSN,EDB,3.0,38.0,25.0,4.0,1
SVG,DON,1.0,73.0,1.0,-1.0,1
SVG,PBO,20.2,34.0,31.2,27.4,5
SVG,SVG,43.0,-1098.0,44.0,-1113.0,1
SVG,YRK,-1113.0,1195.0,-1069.0,66.0,1
YRK,DAR,-54.598169717138106,23.366888519134775,-137.43344425956738,-61.98169717138103,1202
YRK,NTR,-23.900343642611684,19.216494845360824,-108.03436426116839,-22.604810996563575,291
