rid,from_station,to_station,from_sched_arrival,from_actual_arrival,from_sched_departure,from_actual_departure,to_sched_arrival,to_actual_arrival,to_sched_departure,to_actual_departure,late_canc_reason,total_stops_in_run,remaining_stops_after_this
202401016728789,KGX,YRK,,,1600,1559,1752,1747,1756,1756,,6,5
202401016728789,YRK,DAR,1752,1747,1756,1756,1822,1822,1824,1824,,6,4
202401016728789,DAR,NCL,1822,1822,1824,1824,1850,1850,1854,1853,,6,3
202401016728789,NCL,BWK,1850,1850,1854,1853,1936,1937,1939,1939,,6,2
202401016728789,BWK,EDB,1936,1937,1939,1939,2022,2022,,,,6,1
202401016728837,KGX,PBO,,,1630,1630,1716,1717,1719,1722,,11,10
202401016728837,PBO,NNG,1716,1717,1719,1722,1745,1750,1747,1753,,11,9
202401016728837,NNG,DON,1745,1750,1747,1753,1810,1815,1812,1817,,11,8
202401016728837,DON,YRK,1810,1815,1812,1817,1832,1837,1836,1840,,11,7
202401016728837,YRK,NTR,1832,1837,1836,1840,1854,1859,1856,1901,,11,6
202401016728837,NTR,DAR,1854,1859,1856,1901,1909,1915,1910,1916,,11,5
202401016728837,DAR,DHM,1909,1915,1910,1916,1927,1932,1928,1934,,11,4
202401016728837,DHM,NCL,1927,1932,1928,1934,1941,1946,1946,1950,,11,3
202401016728837,NCL,MPT,1941,1946,1946,1950,1959,2003,2001,2004,,11,2
202401016728837,MPT,EDB,1959,2003,2001,2004,2114,2113,,,,11,1
202401026728837,KGX,PBO,,,1630,1629,1716,1732,1719,1734,851,11,10
202401026728837,PBO,NNG,1716,1732,1719,1734,1745,1811,1747,1813,851,11,9
202401026728837,NNG,DON,1745,1811,1747,1813,1810,1835,1812,1836,851,11,8
202401026728837,DON,YRK,1810,1835,1812,1836,1832,1856,1836,1858,851,11,7
202401026728837,YRK,NTR,1832,1856,1836,1858,1854,1916,1856,1917,851,11,6
202401026728837,NTR,DAR,1854,1916,1856,1917,1909,1927,1910,1928,851,11,5
202401026728837,DAR,DHM,1909,1927,1910,1928,1927,1943,1928,1945,851,11,4
202401026728837,DHM,NCL,1927,1943,1928,1945,1941,1956,1946,1958,851,11,3
202401026728837,NCL,MPT,1941,1956,1946,1958,1959,2011,2001,2013,851,11,2
202401026728837,MPT,EDB,1959,2011,2001,2013,2114,2122,,,851,11,1
202401036728837,KGX,PBO,,,1630,1629,1716,1714,1719,1719,,11,10
202401036728837,PBO,NNG,1716,1714,1719,1719,1745,1744,1747,1747,,11,9
202401036728837,NNG,DON,1745,1744,1747,1747,1810,1808,1812,1811,,11,8
202401036728837,DON,YRK,1810,1808,1812,1811,1832,1832,1836,1836,,11,7
202401036728837,YRK,NTR,1832,1832,1836,1836,1854,1854,1856,1857,,11,6
202401036728837,NTR,DAR,1854,1854,1856,1857,1909,1907,1910,1909,,11,5
202401036728837,DAR,DHM,1909,1907,1910,1909,1927,1925,1928,1928,,11,4
202401036728837,DHM,NCL,1927,1925,1928,1928,1941,1939,1946,1945,,11,3
202401036728837,NCL,MPT,1941,1939,1946,1945,1959,1958,2001,2000,,11,2
202401036728837,MPT,EDB,1959,1958,2001,2000,2114,2110,,,,11,1
202401046728837,KGX,PBO,,,1630,1629,1716,1730,1719,1732,519,11,10
202401046728837,PBO,NNG,1716,1730,1719,1732,1745,1757,1747,1800,519,11,9
202401046728837,NNG,DON,1745,1757,1747,1800,1810,1821,1812,1823,519,11,8
202401046728837,DON,YRK,1810,1821,1812,1823,1832,1844,1836,1846,519,11,7
202401046728837,YRK,NTR,1832,1844,1836,1846,1854,1905,1856,1906,519,11,6
202401046728837,NTR,DAR,1854,1905,1856,1906,1909,1916,1910,1918,519,11,5
202401046728837,DAR,DHM,1909,1916,1910,1918,1927,1934,1928,1935,519,11,4
202401046728837,DHM,NCL,1927,1934,1928,1935,1941,1947,1946,1949,519,11,3
202401046728837,NCL,MPT,1941,1947,1946,1949,1959,2002,2001,2004,519,11,2
202401046728837,MPT,EDB,1959,2002,2001,2004,2114,2113,,,519,11,1
202401056728837,KGX,PBO,,,1630,1630,1716,1726,1719,1727,,12,11
202401056728837,PBO,NNG,1716,1726,1719,1727,1745,1753,1747,1756,,12,10
202401056728837,NNG,DON,1745,1753,1747,1756,1810,1818,1812,1820,,12,9
202401056728837,DON,YRK,1810,1818,1812,1820,1832,1840,1836,1842,,12,8
202401056728837,YRK,NTR,1832,1840,1836,1842,1854,1901,1856,1903,,12,7
202401056728837,NTR,DAR,1854,1901,1856,1903,1909,1913,1910,1914,,12,6
202401056728837,DAR,DHM,1909,1913,1910,1914,1927,1930,1928,1933,,12,5
