rid,from_station,to_station,from_sched_arrival,from_actual_arrival,from_sched_departure,from_actual_departure,to_sched_arrival,to_actual_arrival,to_sched_departure,to_actual_departure,late_canc_reason,total_stops_in_run,remaining_stops_after_this,date_of_service,month,day_of_week,day_of_month,from_sched_arrival_min,from_actual_arrival_min,from_sched_departure_min,from_actual_departure_min,to_sched_arrival_min,to_actual_arrival_min,to_sched_departure_min,to_actual_departure_min,propagated_delay_min,end_segment_delay_min,cum_delay_min,leg_duration_min,arrival_delay_min,departure_datetime,arrival_datetime,departure_hour,arrival_hour,prev_train_leg_delay_min,prev_train_cum_delay_min,prev_train_segment_duration_min,prev_train_end_segment_delay_min
202501017835779,KGX,YRK,,,1600,1559,1752,1814,1756,1817,696,6,5,2025-01-01,1,2,1,0,0,960,959,1072,1094,1076,1097,-1,22,-1,135,22,2025-01-01 15:59:00,2025-01-01 17:52:00,15,17,,,,
202501016771577,KGX,YRK,,,1700,1659,1849,1847,1857,1856,,6,5,2025-01-01,1,2,1,0,0,1020,1019,1129,1127,1137,1136,-1,-2,-1,108,-2,2025-01-01 16:59:00,2025-01-01 18:49:00,16,18,-1.0,-1.0,135.0,22.0
202501016771583,KGX,YRK,,,1800,1759,1947,1945,1952,1953,,6,5,2025-01-01,1,2,1,0,0,1080,1079,1187,1185,1192,1193,-1,-2,-1,106,-2,2025-01-01 17:59:00,2025-01-01 19:47:00,17,19,-1.0,-1.0,108.0,-2.0
202501026771577,KGX,YRK,,,1700,1659,1849,1848,1857,1857,,6,5,2025-01-02,1,3,2,0,0,1020,1019,1129,1128,1137,1137,-1,-1,-1,109,-1,2025-01-02 16:59:00,2025-01-02 18:49:00,16,18,-1.0,-1.0,106.0,-2.0
202501026771583,KGX,YRK,,,1800,1759,1947,1950,1952,1955,,6,5,2025-01-02,1,3,2,0,0,1080,1079,1187,1190,1192,1195,-1,3,-1,111,3,2025-01-02 17:59:00,2025-01-02 19:47:00,17,19,-1.0,-1.0,109.0,-1.0
202501026771588,KGX,YRK,,,1900,1900,2057,2057,2059,2059,,6,5,2025-01-02,1,3,2,0,0,1140,1140,1257,1257,1259,1259,0,0,0,117,0,2025-01-02 19:00:00,2025-01-02 20:57:00,19,20,-1.0,-1.0,111.0,3.0
202501036771577,KGX,YRK,,,1700,1700,1849,1854,1857,1857,,6,5,2025-01-03,1,4,3,0,0,1020,1020,1129,1134,1137,1137,0,5,0,114,5,2025-01-03 17:00:00,2025-01-03 18:49:00,17,18,0.0,0.0,117.0,0.0
202501036771583,KGX,YRK,,,1800,1759,1947,1946,1952,1955,,6,5,2025-01-03,1,4,3,0,0,1080,1079,1187,1186,1192,1195,-1,-1,-1,107,-1,2025-01-03 17:59:00,2025-01-03 19:47:00,17,19,0.0,0.0,114.0,5.0
202501036771588,KGX,YRK,,,1900,1901,2057,2053,2059,2058,,6,5,2025-01-03,1,4,3,0,0,1140,1141,1257,1253,1259,1258,1,-4,1,112,-4,2025-01-03 19:01:00,2025-01-03 20:57:00,19,20,-1.0,-1.0,107.0,-1.0
202501066771577,KGX,YRK,,,1700,1659,1849,1852,1857,1857,,6,5,2025-01-06,1,0,6,0,0,1020,1019,1129,1132,1137,1137,-1,3,-1,113,3,2025-01-06 16:59:00,2025-01-06 18:49:00,16,18,1.0,1.0,112.0,-4.0
